,listing_id,id,date,reviewer_id,reviewer_name,comments,review,review2,positive,negative,score
0,2818,1191,2009-03-30,10952,Lam,Daniel is really cool. The place was nice and clean. Very quiet neighborhood. He had maps and a lonely planet guide book in the room for you to use. I didnt have any trouble finding the place from Central Station. I would defintely come back! Thanks!,daniel is really cool. the place was nice and clean. very quiet neighborhood. he had maps and a lonely planet guide book in the room for you to use. i didnt have any trouble finding the place from central station. i would defintely come back! thanks!,"['daniel', 'really', 'cool', 'place', 'nice', 'clean', 'quiet', 'neighborhood', 'maps', 'lonely', 'planet', 'guide', 'book', 'room', 'use', 'didnt', 'trouble', 'finding', 'place', 'central', 'station', 'would', 'defintely', 'come', 'back', 'thanks']",4,2,0.6666666666666666
1,2818,1771,2009-04-24,12798,Alice,"Daniel is the most amazing host! His place is extremely clean, and he provides everything you could possibly want (comfy bed, guidebooks & maps, mini-fridge, towels, even toiletries). He is extremely friendly and helpful, and will go out of his way to help you if needed, or just let you come and go as you please. Highly recommended!","daniel is the most amazing host! his place is extremely clean, and he provides everything you could possibly want (comfy bed, guidebooks & maps, mini-fridge, towels, even toiletries). he is extremely friendly and helpful, and will go out of his way to help you if needed, or just let you come and go as you please. highly recommended!","['daniel', 'amazing', 'host', 'place', 'extremely', 'clean', 'provides', 'everything', 'could', 'possibly', 'want', 'comfy', 'bed', 'guidebooks', 'maps', 'mini', 'fridge', 'towels', 'even', 'toiletries', 'extremely', 'friendly', 'helpful', 'go', 'way', 'help', 'needed', 'let', 'come', 'go', 'please', 'highly', 'recommended']",6,0,1.0
2,2818,1989,2009-05-03,11869,Natalja,"We had such a great time in Amsterdam. Daniel is an excellent host! Very friendly and everytime helpful. The room was cozy, comfortable, and VERY clean. Maps, towels, mini-fridge, coffee (very tasty) and tea supplies were provided. Bathroom with all the bathroom requires. Good location - next to the tram stop and it took just around 10-15 minutes to get to the city center.<br/>Totally recommendable! ","we had such a great time in amsterdam. daniel is an excellent host! very friendly and everytime helpful. the room was cozy, comfortable, and very clean. maps, towels, mini-fridge, coffee (very tasty) and tea supplies were provided. bathroom with all the bathroom requires. good location - next to the tram stop and it took just around 10-15 minutes to get to the city center.<br/>totally recommendable! ","['great', 'time', 'amsterdam', 'daniel', 'excellent', 'host', 'friendly', 'everytime', 'helpful', 'room', 'cozy', 'comfortable', 'clean', 'maps', 'towels', 'mini', 'fridge', 'coffee', 'tasty', 'tea', 'supplies', 'provided', 'bathroom', 'bathroom', 'requires', 'good', 'location', 'next', 'tram', 'stop', 'took', 'around', 'minutes', 'get', 'city', 'center', 'br', 'totally', 'recommendable']",8,0,1.0
3,2818,2797,2009-05-18,14064,Enrique,Very professional operation. Room is very clean and comfortable. Location is close to tram or bus which take you to most of attractions. A great and helpful host who want to ensure you enjoy your stay.  ,very professional operation. room is very clean and comfortable. location is close to tram or bus which take you to most of attractions. a great and helpful host who want to ensure you enjoy your stay.  ,"['professional', 'operation', 'room', 'clean', 'comfortable', 'location', 'close', 'tram', 'bus', 'take', 'attractions', 'great', 'helpful', 'host', 'want', 'ensure', 'enjoy', 'stay']",5,0,1.0
4,2818,3151,2009-05-25,17977,Sherwin,Daniel is highly recommended.  He provided all necessities (and actually went way beyond what's expected of a great host). His place is very clean.  It is also convenient to buses and trams which will take you around the city in minutes.  You will truly feel like a local here.,daniel is highly recommended.  he provided all necessities (and actually went way beyond what's expected of a great host). his place is very clean.  it is also convenient to buses and trams which will take you around the city in minutes.  you will truly feel like a local here.,"['daniel', 'highly', 'recommended', 'provided', 'necessities', 'actually', 'went', 'way', 'beyond', 'expected', 'great', 'host', 'place', 'clean', 'also', 'convenient', 'buses', 'trams', 'take', 'around', 'city', 'minutes', 'truly', 'feel', 'like', 'local']",5,0,1.0
5,2818,4748,2009-06-29,20192,Jie,"Daniel was a great host! He made everything so easy for us! The room was super clean and well equipped, the beds were very comfortable! Daniel also gave us good advices,  tips and tools (maps, compass, umbrella..) for getting around the city. The place is located in the quiet neighbourhood so we are away from all the noises, but it is also very close to all the public transportations so getting into the city is fairly easy and fast. I highly recommend Daniele's place!<br/><br/>","daniel was a great host! he made everything so easy for us! the room was super clean and well equipped, the beds were very comfortable! daniel also gave us good advices,  tips and tools (maps, compass, umbrella..) for getting around the city. the place is located in the quiet neighbourhood so we are away from all the noises, but it is also very close to all the public transportations so getting into the city is fairly easy and fast. i highly recommend daniele's place!<br/><br/>","['daniel', 'great', 'host', 'made', 'everything', 'easy', 'us', 'room', 'super', 'clean', 'well', 'equipped', 'beds', 'comfortable', 'daniel', 'also', 'gave', 'us', 'good', 'advices', 'tips', 'tools', 'maps', 'compass', 'umbrella', 'getting', 'around', 'city', 'place', 'located', 'quiet', 'neighbourhood', 'away', 'noises', 'also', 'close', 'public', 'transportations', 'getting', 'city', 'fairly', 'easy', 'fast', 'highly', 'recommend', 'daniele', 'place', 'br', 'br']",12,1,0.9230769230769231
6,2818,5202,2009-07-07,23055,Vanessa,"Daniele is an amazing host! He provided everything that was needed to make our stay comfortable and easy! The rooms were clean and cozy; and he took the time to show us how to get around Amsterdam via public transportation or riding around on bicycles. You truly do feel like a local when staying with Daniele!!<br/>","daniele is an amazing host! he provided everything that was needed to make our stay comfortable and easy! the rooms were clean and cozy; and he took the time to show us how to get around amsterdam via public transportation or riding around on bicycles. you truly do feel like a local when staying with daniele!!<br/>","['daniele', 'amazing', 'host', 'provided', 'everything', 'needed', 'make', 'stay', 'comfortable', 'easy', 'rooms', 'clean', 'cozy', 'took', 'time', 'show', 'us', 'get', 'around', 'amsterdam', 'via', 'public', 'transportation', 'riding', 'around', 'bicycles', 'truly', 'feel', 'like', 'local', 'staying', 'daniele', 'br']",6,0,1.0
7,2818,9131,2009-09-06,26343,Katja,"You can´t have a nicer start in Amsterdam. Daniel is such a great and welcoming host. The room was really light and charming, so well decorated. Daniel has a great sense of hospitality, he even helped with our luggage and gave us maps and a travelguide. He´s very open minded and helpful. We had a great time, we would stay with him again anytime we´re back in Amsterdam. Daniel made sure we had everything for a great trip, thanks again for the bikes! Hope to see you soon, Daniel!","you can´t have a nicer start in amsterdam. daniel is such a great and welcoming host. the room was really light and charming, so well decorated. daniel has a great sense of hospitality, he even helped with our luggage and gave us maps and a travelguide. he´s very open minded and helpful. we had a great time, we would stay with him again anytime we´re back in amsterdam. daniel made sure we had everything for a great trip, thanks again for the bikes! hope to see you soon, daniel!","['nicer', 'start', 'amsterdam', 'daniel', 'great', 'welcoming', 'host', 'room', 'really', 'light', 'charming', 'well', 'decorated', 'daniel', 'great', 'sense', 'hospitality', 'even', 'helped', 'luggage', 'gave', 'us', 'maps', 'travelguide', 'open', 'minded', 'helpful', 'great', 'time', 'would', 'stay', 'anytime', 'back', 'amsterdam', 'daniel', 'made', 'sure', 'everything', 'great', 'trip', 'thanks', 'bikes', 'hope', 'see', 'soon', 'daniel']",9,0,1.0
8,2818,12103,2009-10-01,40999,Marie-Eve,"Daniel was a fantastic host. His place is calm and clean, and he provided so much information on how to enjoy the amazing city of Amsterdam. Should I return to the city, his place will be my first choice! ","daniel was a fantastic host. his place is calm and clean, and he provided so much information on how to enjoy the amazing city of amsterdam. should i return to the city, his place will be my first choice! ","['daniel', 'fantastic', 'host', 'place', 'calm', 'clean', 'provided', 'much', 'information', 'enjoy', 'amazing', 'city', 'amsterdam', 'return', 'city', 'place', 'first', 'choice']",5,0,1.0
9,2818,16196,2009-11-04,38623,Graham,"Daniel was great. He couldn.t do enough for us. He has gone to a lot of trouble and added every little touch to his apartment. He can speak 5 languages so that should not be a problem for anyone.<br/>The accomation had everything we needed and was very convienient to the bus and tram.","daniel was great. he couldn.t do enough for us. he has gone to a lot of trouble and added every little touch to his apartment. he can speak 5 languages so that should not be a problem for anyone.<br/>the accomation had everything we needed and was very convienient to the bus and tram.","['daniel', 'great', 'enough', 'us', 'gone', 'lot', 'trouble', 'added', 'every', 'little', 'touch', 'apartment', 'speak', 'languages', 'problem', 'anyone', 'br', 'accomation', 'everything', 'needed', 'convienient', 'bus', 'tram']",3,2,0.6
